Respondent ID,Respondant Zip Code,Urban or Rural Re-scaled,Age,Gender,Ethnicity,Income Re-scaled,Education Re-scaled,Household size Re-scaled,Marital,Employment Simple,Elections: I think elections are fair and reliable Re-scaled,"Elections: During the last (2022) election, I voted:",Elections: I understand the term 'democracy' to mean:,Elections: How would you define the political system in which you live? ,Political System Oppinions: Which of these two political systems do you think is the most effective and functional for making complex decisions? ,Political System Oppinions: Which of these two political systems would you prefer to live in?,Economic Instability Re-scaled,Energy Crisis Re-scaled,Climate Change Re-scaled,Lack of Natural Resources Re-scaled,Militarty Conflicts Re-scaled,Interstate Conflicts Re-scaled,Employment and Livelihood Re-scaled,Infectious Disease Re-scaled,AI Re-scaled,Cybersecurity Re-scaled,Crisis Composit Score,Systems Thinking Score,Trust Score,Conspiracy,Complexity,Openness,Conscienciousness,Extroversion,Agreeableness,Neuroticism
1676,85205,1,49,Female,Hispanic,9,3,3,Married or Partnered,Employed Full-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,2,2,1,1,1,1,1,1,2,1,6,0.7222222222222222,0.583333325,0.0,0.5333333333333334,0.5,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.4444444444444444
1677,85741,1,83,Female,White/Caucasian,7,5,3,Married or Partnered,Retired,3,Democratic (Ruling Party),That there is a well-functioning social system,Democracy,Democracy,Democracy,3,3,3,2,1,3,1,3,0,2,9,1.0,0.5,0.0,0.5333333333333334,0.6666666666666666,0.9999999999999999,0.888888888888889,0.9999999999999999,0.7777777777777778
1678,85212,1,52,Male,Hispanic,10,6,4,Married or Partnered,Employed Full-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,2,2,1,1,2,0,2,1,1,6,0.25,0.666666675,0.2,0.7333333333333334,0.4444444444444444,0.611111111111111,0.9444444444444445,0.4444444444444444,0.33333333333333337
1680,85712,1,49,Female,Hispanic,9,6,2,Married or Partnered,Unemployed,2,Did not vote,That there is a well-functioning social system,Democracy,Democracy,Democracy,2,0,2,1,0,0,3,2,1,1,7,0.9166666666666666,0.666666675,0.2,0.8666666666666667,0.6666666666666666,0.9444444444444445,0.6666666666666666,0.6666666666666666,0.22222222222222218
1681,85015,1,28,Male,White/Caucasian,4,2,4,Single,Employed Part-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,2,2,1,1,3,3,0,2,9,0.7777777777777777,0.08333334999999997,0.2,0.6000000000000001,0.5,0.611111111111111,0.11111111111111113,0.6666666666666666,0.9444444444444445
1682,85215,1,31,Female,White/Caucasian,4,4,6,Married or Partnered,Employed Full-time,1,Did not vote,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,1,0,1,0,3,1,3,3,1,1,9,0.5,0.16666665000000003,0.6000000000000001,0.39999999999999997,0.9999999999999999,0.9999999999999999,0.6666666666666666,0.7777777777777778,0.16666666666666666
1683,85268,0,66,Female,White/Caucasian,4,5,1,Widowed,Retired,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Autocracy,Autocracy,Autocracy,3,2,0,3,2,2,2,2,0,2,8,0.75,0.75,0.8,0.2,0.611111111111111,0.9999999999999999,0.888888888888889,0.7222222222222222,0.22222222222222218
1685,85225,1,45,Male,Hispanic,7,4,1,Married or Partnered,Employed Full-time,1,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,2,3,2,1,2,2,2,1,2,9,0.7777777777777777,0.416666675,0.13333333333333336,0.6000000000000001,0.2777777777777778,0.7222222222222222,0.611111111111111,0.7777777777777778,0.5
1686,85748,1,24,Male,Hispanic,6,2,5,Single,Unemployed,0,Did not vote,That the people elect the respective head of state in free elections,Autocracy,Neither,Democracy,3,3,2,1,2,0,3,1,0,2,6,0.75,0.5,0.06666666666666671,0.6000000000000001,0.5,0.611111111111111,0.611111111111111,0.6666666666666666,0.4444444444444444
1687,85755,1,67,Male,White/Caucasian,7,6,2,Married or Partnered,Retired,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,0,1,1,3,1,1,2,2,9,0.9166666666666666,0.08333334999999997,0.2,0.3333333333333333,0.5,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.2777777777777778
1688,85295,1,49,Male,White/Caucasian,9,5,4,Married or Partnered,Employed Full-time,3,Democratic (Ruling Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,1,1,1,0,0,0,0,0,0,0,0,0.6944444444444444,0.833333375,0.2,0.6666666666666667,0.611111111111111,0.8333333333333334,0.7222222222222222,0.8333333333333334,0.2777777777777778
1689,85213,0,60,Female,White/Caucasian,7,5,1,Seperated,Employed Full-time,2,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,2,3,1,1,1,1,1,1,2,1,6,0.5277777777777778,0.75,0.26666666666666666,0.8666666666666667,0.611111111111111,0.7777777777777778,0.4444444444444444,0.38888888888888895,0.16666666666666666
1690,85306,1,57,Female,Black/African-American,5,6,2,Seperated,Employed Full-time,0,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,15,0.5277777777777778,0.416666675,0.26666666666666666,0.3333333333333333,0.611111111111111,0.8333333333333334,0.7222222222222222,0.611111111111111,0.33333333333333337
1692,85716,1,29,Female,White/Caucasian,4,5,3,Married or Partnered,Employed Part-time,1,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,3,3,3,2,2,3,3,1,2,2,11,0.611111111111111,0.5,0.46666666666666673,0.3333333333333333,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.888888888888889,0.8333333333333334
1693,85224,1,56,Female,Hispanic,4,4,6,Married or Partnered,Retired,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,2,1,1,1,1,1,2,1,1,6,0.6388888888888888,0.333333325,0.06666666666666671,0.5333333333333334,0.5555555555555556,0.888888888888889,0.5555555555555556,0.9444444444444445,0.7222222222222222
1694,85023,1,24,Female,Asian,6,2,5,Married or Partnered,Unemployed,1,Did not vote,That the people elect the respective head of state in free elections,Autocracy,Neither,Neither,3,3,0,0,0,0,3,0,0,0,3,0.75,0.5,0.13333333333333336,0.46666666666666673,0.9999999999999999,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.888888888888889
1695,85929,0,18,Male,White/Caucasian,5,2,3,Single,Employed Part-time,3,Did not vote,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,3,1,0,1,1,2,2,0,1,6,0.75,0.5,0.06666666666666671,0.7333333333333334,0.6666666666666666,0.5555555555555556,0.38888888888888895,0.888888888888889,0.888888888888889
1697,85711,1,37,Male,White/Caucasian,1,1,5,Seperated,Employed Full-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,1,1,2,1,2,2,1,1,1,1,6,0.41666666666666663,0.5,0.06666666666666671,0.6000000000000001,0.0,0.0,0.33333333333333337,0.0,0.5
1698,85022,1,35,Male,White/Caucasian,8,5,3,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,2,1,3,2,1,3,3,3,3,2,14,0.75,0.583333325,0.0,0.8,0.7222222222222222,0.611111111111111,0.6666666666666666,0.7222222222222222,0.888888888888889
1701,85635,1,23,Male,White/Caucasian,1,2,1,Single,Unemployed,0,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,3,2,2,2,1,1,2,2,1,0,6,0.4722222222222222,0.333333325,0.39999999999999997,0.7333333333333334,0.9999999999999999,0.9444444444444445,0.7777777777777778,0.9999999999999999,0.0
1703,85225,1,20,Female,Black/African-American,4,3,3,Single,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,2,2,0,0,0,2,3,0,0,5,0.9166666666666666,0.416666675,0.2,0.8666666666666667,0.7222222222222222,0.9444444444444445,0.611111111111111,0.888888888888889,0.888888888888889
1704,85044,1,32,Female,White/Caucasian,7,6,3,Married or Partnered,Employed Full-time,1,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,1,3,1,2,1,2,2,1,1,7,0.6666666666666666,0.416666675,0.13333333333333336,0.6666666666666667,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.38888888888888895,0.38888888888888895
1705,86401,0,50,Male,White/Caucasian,3,3,2,Single,Employed Part-time,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,0,3,3,3,3,1,1,0,8,0.8055555555555555,0.416666675,0.8,0.13333333333333336,0.8333333333333334,0.9999999999999999,0.7777777777777778,0.9999999999999999,0.5555555555555556
1707,85705,1,68,Female,White/Caucasian,1,3,2,Married or Partnered,Other,2,Republican (Opposing Party),That there is a well-functioning social system,Democracy,Neither,Neither,1,1,1,1,1,1,1,1,0,1,4,0.5,0.5,0.6666666666666667,0.8,0.8333333333333334,0.611111111111111,0.611111111111111,0.611111111111111,0.611111111111111
1708,0,0,70,Female,White/Caucasian,7,3,1,Widowed,Retired,1,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,2,2,1,0,1,1,0,2,0,1,4,0.9444444444444444,1.0,0.46666666666666673,0.13333333333333336,0.9444444444444445,0.9999999999999999,0.9444444444444445,0.9999999999999999,0.16666666666666666
1709,85705,1,35,Male,White/Caucasian,5,2,4,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That there is no great gap between rich and poor,Democracy,Democracy,Democracy,2,2,2,3,2,3,2,3,3,3,14,0.75,0.5,0.46666666666666673,0.5333333333333334,0.6666666666666666,0.5,0.5555555555555556,0.5555555555555556,0.5555555555555556
1711,85365,1,19,Male,White/Caucasian,2,2,6,Single,Employed Part-time,1,Did not vote,That there is no great gap between rich and poor,Democracy,Neither,Neither,1,1,2,2,2,2,2,2,2,3,11,0.6388888888888888,0.666666675,0.8666666666666667,0.6666666666666667,0.8333333333333334,0.6666666666666666,0.38888888888888895,0.611111111111111,0.05555555555555555
1712,86426,1,37,Male,White/Caucasian,9,6,4,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,3,3,1,3,3,2,3,2,2,12,0.9722222222222222,0.833333375,0.3333333333333333,0.8666666666666667,0.9999999999999999,0.9999999999999999,0.33333333333333337,0.9999999999999999,0.0
1713,85396,0,20,Female,Hispanic,1,1,6,Single,Unemployed,0,Did not vote,That I can determine directly/by myself what happens in my country,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,15,0.5833333333333333,0.0,0.3333333333333333,0.5333333333333334,0.38888888888888895,0.5,0.611111111111111,0.4444444444444444,0.5
1714,86332,0,73,Male,White/Caucasian,8,6,2,Married or Partnered,Retired,3,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,3,3,1,1,0,0,0,0,0,0,0,0.6944444444444444,0.583333325,0.26666666666666666,0.39999999999999997,0.6666666666666666,0.9444444444444445,0.7777777777777778,0.888888888888889,0.16666666666666666
1716,85007,1,68,Male,White/Caucasian,3,2,1,Single,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Autocracy,Neither,Democracy,3,3,3,3,3,3,2,3,2,3,13,0.38888888888888884,0.25,0.3333333333333333,0.6666666666666667,0.16666666666666666,0.5555555555555556,0.4444444444444444,0.611111111111111,0.38888888888888895
1718,85281,1,50,Female,White/Caucasian,10,6,3,Married or Partnered,Employed Full-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,1,1,1,0,0,1,0,1,0,0,2,0.5555555555555556,0.916666625,0.0,0.6000000000000001,0.5555555555555556,0.9999999999999999,0.7222222222222222,0.7222222222222222,0.5
1719,85710,1,74,Male,White/Caucasian,4,5,3,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,1,2,2,0,0,0,0,1,0,1,2,0.8055555555555555,0.583333325,0.2,0.8666666666666667,0.7222222222222222,0.7222222222222222,0.16666666666666666,0.5555555555555556,0.6666666666666666
1721,86351,0,73,Male,White/Caucasian,7,3,2,Married or Partnered,Retired,2,Democratic (Ruling Party),That I can determine directly/by myself what happens in my country,Democracy,Neither,Democracy,0,0,1,0,0,0,0,0,0,0,0,0.6666666666666666,0.5,0.13333333333333336,0.7333333333333334,0.6666666666666666,0.888888888888889,0.7777777777777778,0.5555555555555556,0.22222222222222218
1723,86336,0,86,Female,Black/African-American,4,6,1,Single,Retired,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,0,0,1,0,0,0,0,1,0,1,2,0.9722222222222222,0.666666675,0.0,0.8,0.611111111111111,0.9444444444444445,0.22222222222222218,0.888888888888889,0.4444444444444444
1725,85364,1,43,Female,Hispanic,3,3,5,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That there is a well-functioning social system,Democracy,Democracy,Democracy,2,2,2,1,2,2,2,2,2,1,9,0.38888888888888884,0.5,0.39999999999999997,0.5333333333333334,0.5555555555555556,0.611111111111111,0.5,0.8333333333333334,0.8333333333333334
1726,85043,1,42,Female,Black/African-American,4,2,6,Married or Partnered,Other,0,Democratic (Ruling Party),That there is no great gap between rich and poor,Democracy,Democracy,Democracy,3,1,2,3,1,2,3,3,1,1,10,0.8333333333333333,0.16666665000000003,0.2,0.5333333333333334,0.611111111111111,0.888888888888889,0.2777777777777778,0.5,0.611111111111111
1727,85017,1,39,Male,Other,5,5,3,Single,Employed Full-time,0,Did not vote,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Democracy,3,2,2,2,2,3,3,1,2,1,10,0.8333333333333333,0.16666665000000003,0.46666666666666673,0.9333333333333333,0.38888888888888895,0.888888888888889,0.05555555555555555,0.38888888888888895,0.9999999999999999
1728,85210,1,55,Male,White/Caucasian,7,3,1,Single,Employed Full-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,2,3,1,0,1,1,1,0,0,3,0.6388888888888888,0.5,0.0,0.8,0.7777777777777778,0.9444444444444445,0.16666666666666666,0.5555555555555556,0.22222222222222218
1731,85032,1,53,Male,Asian,6,5,1,Single,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,2,1,2,1,1,0,1,2,0,1,4,0.5833333333333333,0.333333325,0.2,0.6666666666666667,0.5,0.7222222222222222,0.16666666666666666,0.38888888888888895,0.5
1732,85706,1,39,Female,Native American,1,2,3,Married or Partnered,Other,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Autocracy,Neither,Neither,3,2,2,3,1,2,1,1,2,0,6,0.5833333333333333,0.333333325,0.6666666666666667,0.6000000000000001,0.9999999999999999,0.8333333333333334,0.611111111111111,0.9999999999999999,0.5
1733,85212,1,46,Female,White/Caucasian,6,5,2,Single,Employed Full-time,0,Did not vote,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,2,3,1,0,1,3,0,0,2,6,0.7777777777777777,0.16666665000000003,0.5333333333333334,0.8,0.4444444444444444,0.7222222222222222,0.2777777777777778,0.8333333333333334,0.9999999999999999
1734,85602,1,34,Female,White/Caucasian,4,3,3,Single,Employed Part-time,0,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,1,0,1,3,1,0,0,2,2,1,5,0.5555555555555556,0.5,0.3333333333333333,0.5333333333333334,0.9444444444444445,0.7222222222222222,0.5,0.7222222222222222,0.8333333333333334
1735,85017,1,56,Female,White/Caucasian,7,4,4,Married or Partnered,Employed Full-time,0,Did not vote,That the people elect the respective head of state in free elections,Autocracy,Neither,Neither,3,3,0,2,0,0,3,0,0,0,3,1.0,0.08333334999999997,0.7333333333333334,0.6666666666666667,0.7777777777777778,0.9999999999999999,0.4444444444444444,0.611111111111111,0.0
1736,85297,1,43,Male,Asian,9,6,4,Married or Partnered,Employed Full-time,2,Did not vote,That there is no great gap between rich and poor,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,15,1.0,0.583333325,1.0,0.9333333333333333,0.5,0.5,0.5,0.5,0.5
1737,85658,1,48,Female,White/Caucasian,9,5,6,Married or Partnered,Other,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,1,1,3,2,3,3,2,1,3,12,0.9722222222222222,1.0,0.26666666666666666,0.5333333333333334,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0
1738,85251,1,76,Female,White/Caucasian,4,3,1,Seperated,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,1,1,2,1,1,1,0,1,1,1,4,0.7222222222222222,0.75,0.0,0.6000000000000001,0.5,0.9999999999999999,0.611111111111111,0.611111111111111,0.22222222222222218
1739,85032,1,71,Female,White/Caucasian,1,3,1,Seperated,Retired,2,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,2,3,1,0,0,0,3,0,1,4,0.7777777777777777,0.25,0.2,0.6666666666666667,0.7777777777777778,0.9444444444444445,0.611111111111111,0.888888888888889,0.0
1740,85756,0,66,Female,White/Caucasian,5,4,2,Married or Partnered,Retired,1,Republican (Opposing Party),That there is a well-functioning social system,Democracy,Neither,Neither,2,1,0,2,0,3,1,1,3,3,11,0.75,0.5,0.39999999999999997,0.39999999999999997,0.611111111111111,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.4444444444444444
1741,0,1,57,Female,White/Caucasian,4,6,2,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,1,1,2,1,1,1,1,1,1,1,5,0.75,0.833333375,0.2,0.9333333333333333,0.5,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.611111111111111
1742,85755,1,52,Male,White/Caucasian,4,5,1,Single,Employed Full-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,3,2,2,1,1,1,3,1,1,1,7,0.611111111111111,0.16666665000000003,0.0,0.6666666666666667,0.611111111111111,0.6666666666666666,0.38888888888888895,0.7222222222222222,0.6666666666666666
1744,86409,1,41,Male,White/Caucasian,3,1,3,Single,Unemployed,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Neither,Autocracy,1,0,0,0,0,0,0,1,0,0,1,0.3055555555555555,0.0,0.2,0.26666666666666666,0.2777777777777778,0.05555555555555555,0.16666666666666666,0.5,0.9444444444444445
1745,85143,1,72,Female,White/Caucasian,7,3,2,Married or Partnered,Retired,2,Republican (Opposing Party),That there is a well-functioning social system,Democracy,Democracy,Democracy,1,1,2,1,2,1,1,2,1,1,6,0.4722222222222222,0.583333325,0.2,0.39999999999999997,0.16666666666666666,0.8333333333333334,0.22222222222222218,0.7777777777777778,0.7777777777777778
1746,85051,0,34,Male,Black/African-American,2,2,1,Single,Other,1,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,0,3,3,3,0,2,3,1,2,0,8,0.6666666666666666,0.25,0.26666666666666666,0.7333333333333334,0.38888888888888895,0.611111111111111,0.888888888888889,0.7222222222222222,0.4444444444444444
1747,85120,1,35,Male,Hispanic,10,5,2,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,2,1,1,1,1,0,1,1,1,1,4,0.6666666666666666,0.833333375,0.26666666666666666,0.6000000000000001,0.5,0.6666666666666666,0.5555555555555556,0.888888888888889,0.2777777777777778
1748,85379,1,18,Male,White/Caucasian,9,1,4,Single,Other,0,Did not vote,That the people elect the respective head of state in free elections,Democracy,Democracy,Neither,3,0,0,1,1,1,0,2,2,1,6,0.3611111111111111,0.333333325,0.0,0.3333333333333333,0.888888888888889,0.22222222222222218,0.11111111111111113,0.5555555555555556,0.9999999999999999
1749,85712,1,21,Male,White/Caucasian,1,2,1,Single,Unemployed,1,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,0,0,0,0,0,0,0,3,0,0,3,0.9444444444444444,1.0,0.13333333333333336,0.6000000000000001,0.33333333333333337,0.8333333333333334,0.6666666666666666,0.5555555555555556,0.8333333333333334
1751,85204,1,72,Male,Asian,3,5,2,Married or Partnered,Retired,3,Democratic (Ruling Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,3,3,3,1,2,2,0,2,0,1,5,0.4444444444444444,0.666666675,0.13333333333333336,0.6666666666666667,0.7777777777777778,0.9999999999999999,0.4444444444444444,0.8333333333333334,0.611111111111111
1752,85381,1,49,Female,White/Caucasian,6,4,6,Married or Partnered,Employed Full-time,0,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Neither,3,1,0,3,1,3,3,3,0,0,9,0.5555555555555556,0.75,0.5333333333333334,0.3333333333333333,0.888888888888889,0.9999999999999999,0.7777777777777778,0.888888888888889,0.22222222222222218
1753,85143,1,40,Female,White/Caucasian,8,2,3,Married or Partnered,Other,1,Republican (Opposing Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,2,0,0,0,0,1,0,2,1,0,4,1.0,0.583333325,0.3333333333333333,0.26666666666666666,0.611111111111111,0.9999999999999999,0.22222222222222218,0.7222222222222222,0.5
1754,85032,1,41,Female,Native American,3,2,3,Widowed,Employed Part-time,1,Did not vote,That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,3,3,3,1,1,1,3,0,0,0,4,0.6388888888888888,0.416666675,0.0,0.6666666666666667,0.6666666666666666,0.611111111111111,0.11111111111111113,0.7777777777777778,0.888888888888889
1755,85621,0,20,Female,Hispanic,2,2,4,Single,Employed Full-time,1,Did not vote,That the people elect the respective head of state in free elections,Democracy,Autocracy,Neither,3,3,3,2,1,2,2,1,2,1,8,0.5555555555555556,0.416666675,0.26666666666666666,0.8,0.6666666666666666,0.7222222222222222,0.5555555555555556,0.7222222222222222,0.2777777777777778
1756,85712,1,36,Male,Black/African-American,6,6,1,Single,Other,1,Democratic (Ruling Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,1,2,0,0,0,0,2,0,1,0,3,0.5,0.25,0.06666666666666671,0.8,0.6666666666666666,0.611111111111111,0.7222222222222222,0.7777777777777778,0.5
1757,85281,1,26,Male,White/Caucasian,2,3,2,Single,Employed Full-time,0,Democratic (Ruling Party),That there is a well-functioning social system,Democracy,Neither,Neither,3,2,0,2,0,0,3,3,0,0,6,0.75,0.25,0.2,0.8,0.9999999999999999,0.7777777777777778,0.611111111111111,0.9999999999999999,0.8333333333333334
1759,85040,1,20,Male,Hispanic,1,2,5,Single,Other,1,Did not vote,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,2,3,1,2,1,3,3,1,0,8,0.75,0.583333325,0.39999999999999997,0.8666666666666667,0.7777777777777778,0.7777777777777778,0.5,0.9444444444444445,0.2777777777777778
1760,85225,1,25,Male,White/Caucasian,5,3,2,Single,Other,1,Did not vote,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,3,3,3,3,3,3,3,0,3,12,0.7222222222222222,0.416666675,0.3333333333333333,0.6000000000000001,0.888888888888889,0.7222222222222222,0.4444444444444444,0.7222222222222222,0.7222222222222222
1761,85735,1,67,Female,White/Caucasian,7,3,3,Seperated,Other,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,2,2,0,1,1,0,2,0,1,4,0.6944444444444444,0.833333375,0.2,0.8,0.7222222222222222,0.9999999999999999,0.2777777777777778,0.9444444444444445,0.4444444444444444
1762,85374,1,73,Male,White/Caucasian,8,3,3,Married or Partnered,Retired,3,Did not vote,That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,0,0,0,0,0,0,0,2,0,0,2,0.25,0.833333375,0.0,0.6000000000000001,0.5555555555555556,0.888888888888889,0.38888888888888895,0.888888888888889,0.2777777777777778
1763,85212,1,69,Male,White/Caucasian,5,6,4,Married or Partnered,Employed Full-time,2,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,2,1,2,1,1,1,2,1,1,6,0.7777777777777777,0.583333325,0.3333333333333333,0.7333333333333334,0.8333333333333334,0.8333333333333334,0.7777777777777778,0.888888888888889,0.22222222222222218
1767,85017,1,42,Female,Hispanic,2,3,2,Single,Unemployed,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,1,0,3,1,0,1,1,0,0,0,2,1.0,0.333333325,0.0,0.8666666666666667,0.888888888888889,0.7777777777777778,0.611111111111111,0.888888888888889,0.2777777777777778
1768,85009,1,18,Female,White/Caucasian,1,2,3,Single,Unemployed,1,Did not vote,That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,2,1,3,2,1,1,2,1,1,1,6,0.6666666666666666,0.25,0.46666666666666673,0.5333333333333334,0.7222222222222222,0.611111111111111,0.611111111111111,0.4444444444444444,0.6666666666666666
1769,85396,1,58,Female,White/Caucasian,8,3,2,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,0,1,1,0,0,2,0,3,1,1,7,0.6388888888888888,0.333333325,0.0,0.8,0.611111111111111,0.7777777777777778,0.611111111111111,0.888888888888889,0.4444444444444444
1770,85207,1,55,Female,White/Caucasian,5,6,1,Seperated,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,3,3,3,2,1,1,2,3,1,2,9,0.9444444444444444,0.333333325,0.26666666666666666,0.6666666666666667,0.9999999999999999,0.888888888888889,0.6666666666666666,0.8333333333333334,0.5555555555555556
1771,85014,1,63,Female,White/Caucasian,9,5,2,Married or Partnered,Employed Full-time,1,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,3,1,3,3,3,3,3,3,3,15,0.6388888888888888,0.916666625,0.0,0.13333333333333336,0.611111111111111,0.9999999999999999,0.6666666666666666,0.9999999999999999,0.0
1772,85719,1,62,Male,White/Caucasian,5,2,1,Single,Employed Full-time,3,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Democracy,0,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.833333375,0.0,0.3333333333333333,0.611111111111111,0.7222222222222222,0.7222222222222222,0.611111111111111,0.16666666666666666
1773,85008,1,27,Female,Hispanic,1,2,3,Seperated,Employed Part-time,2,Did not vote,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,3,2,3,3,3,3,3,2,3,14,0.6666666666666666,0.0,0.2,0.6000000000000001,0.7777777777777778,0.9999999999999999,0.6666666666666666,0.7222222222222222,0.611111111111111
1774,85338,1,30,Female,White/Caucasian,8,6,2,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,2,1,3,2,1,1,1,1,2,1,6,0.861111111111111,0.833333375,0.06666666666666671,0.8666666666666667,0.6666666666666666,0.5,0.5555555555555556,0.7222222222222222,0.8333333333333334
1775,85295,1,47,Female,White/Caucasian,8,6,3,Seperated,Employed Full-time,3,Republican (Opposing Party),That there is a well-functioning social system,Democracy,Democracy,Democracy,2,2,1,0,0,0,0,2,0,0,2,0.7222222222222222,0.75,0.13333333333333336,0.39999999999999997,0.5555555555555556,0.7777777777777778,0.8333333333333334,0.6666666666666666,0.22222222222222218
